topic,sdg
topic12,1
topic13,2
topic0,3
topic1,4
topic3,5
topic5,6
topic2,7
topic10,8
topic15,9
topic7,10
topic11,11
topic17,12
topic14,13
topic4,14
topic9,15
topic6,16
topic16,17
topic8,delete
